EXT_SOURCE_3,EXT_SOURCE_2,EXT_SOURCE_1,DAYS_EMPLOYED,PAYMENT_RATE,INSTAL_DPD_MEAN,NAME_EDUCATION_TYPE_Higher_education,CODE_GENDER,CC_CNT_DRAWINGS_ATM_CURRENT_MEAN,DAYS_BIRTH,PREV_CNT_PAYMENT_MEAN,INSTAL_AMT_PAYMENT_SUM,APPROVED_AMT_DOWN_PAYMENT_MAX,PREV_NAME_CONTRACT_STATUS_Refused_MEAN,INSTAL_PAYMENT_PERC_MEAN,OWN_CAR_AGE,AMT_ANNUITY,BURO_DAYS_CREDIT_MEAN,CC_CNT_DRAWINGS_CURRENT_MEAN,PREV_APP_CREDIT_PERC_MIN,SK_ID_CURR
,0.7619789335457093,0.7805492716993361,-1002.0,0.0656289151663892,0.0,True,1,,-18933,24.0,2481421.725,0.0,0.0,1.2949860735308203,12.0,34416.0,,,0.8347176743071639,451397
0.190705947811054,0.693046332108434,,,0.0560762378288792,0.0,False,0,,-22043,14.0,263048.805,45000.0,0.1666666666666666,1.2709467363456457,15.0,30451.5,-1390.8,,0.7911392405063291,247802
0.4938628816996244,0.5429638737165834,0.379103011310052,-579.0,0.106641344383057,0.0,False,0,,-17842,6.0,134429.04,78480.0,0.0,1.0,15.0,8338.5,-535.0,,1.6666666666666667,444152
0.7981372313187245,0.5611853430901673,0.6673609505693411,-3795.0,0.0514884568651275,0.0,True,0,,-14845,11.333333333333334,652859.865,1192.5,0.0,1.670429939407854,2.0,18306.0,-2077.5714285714284,,0.9332640016233766,258733
0.6041125998015721,0.4882611493398778,,-250.0,0.0797387606318347,0.0,False,0,,-10001,13.5,307243.305,2.475,0.0909090909090909,1.4830803975435454,,14175.0,-1043.5,,0.7911392405063291,333747
,0.5531949771605047,,-202.0,0.0483007263665765,0.4444444444444444,False,0,,-20284,10.0,226933.74,4500.0,0.0,1.0,9.0,32796.0,-2754.0,,0.8956337852966787,155841
0.8245949709919925,0.6501582348175377,,-3414.0,0.0359195814220183,0.0,False,1,,-16184,8.0,230087.61,0.0,0.0,1.0,,45103.5,-1962.8333333333333,,0.9680894035276694,330642
,0.6312590720447346,,,0.1001766784452296,0.0,False,1,,-16171,5.0,78875.055,0.0,0.0,1.0,,10206.0,,,1.0,389803
0.2636468134452008,0.5754333480562934,,-562.0,0.0379720504529036,0.625,False,1,0.1041666666666666,-18832,12.666666666666666,464626.305,9454.05,0.0,0.9510869565217392,,18072.0,-1135.5,0.1875,0.9099181073703366,143621
0.7238369900414456,0.4895452362995084,0.6171228055514947,-1640.0,0.05,0.173076923076923,False,1,,-10806,12.6,346611.825,6750.0,0.0,1.0210905112172364,11.0,10125.0,-1151.842105263158,,1.0,317384
0.622922000268356,0.6074471067356416,,-13968.0,0.05,0.25,True,0,,-21593,12.0,136959.525,0.0,0.0,0.9375,5.0,13500.0,-1557.8461538461538,,0.9044709298808156,196620
0.3031463744186309,0.6319307156166281,,-737.0,0.0293572621035058,0.0,False,1,,-16133,45.0,57766.5,9000.0,0.4,1.0,,31653.0,-1847.555555555556,,0.7163323782234957,430740
0.4956658291397297,0.56369318225299,0.1876706455397852,-6185.0,0.1024545454545454,0.0,False,1,0.0,-13748,14.4,2449932.165,2700.0,0.2,1.0,,25357.5,-869.4285714285714,0.0,0.8481524412654434,320628
0.6178261467332483,0.6263694512067858,0.6944970382720658,-825.0,0.0440466666666666,0.0193548387096774,True,1,0.03125,-11616,24.4,1526539.14,8496.0,0.4545454545454545,0.9935483870967742,13.0,29731.5,-1145.9,0.03125,0.8347245409015025,449128
0.6380435278721609,0.7244016800465944,0.2223603274469788,-778.0,0.0293398533007334,0.0,False,0,,-13828,12.0,192734.055,20070.0,0.0,1.0,9.0,37800.0,-448.25,0.0,0.0,392291
0.5495965024956946,0.4570398655400037,0.7812041896421942,,0.0751161342847564,0.0,False,1,,-20759,10.285714285714286,685115.955,4500.0,0.125,1.0,13.0,28233.0,-1008.7777777777778,,0.8407585103952478,413607
,0.5731933227218374,0.2425925955985049,-2793.0,0.0777122825819992,0.0,False,0,,-11174,18.0,202986.765,16672.5,0.0,1.0,,31324.5,,,0.9844277324546252,425034
0.3706496323299817,0.5541784806969237,,-805.0,0.1195229681978798,0.2352941176470588,False,1,,-12898,11.333333333333334,1008567.72,15745.5,0.3076923076923077,0.9411764705882352,21.0,18265.5,-586.5454545454545,,0.0,409342
0.7407990879702335,0.4838091345728133,,-2951.0,0.0379737082871864,1.902439024390244,False,0,,-14476,9.142857142857142,562167.405,9562.5,0.125,0.8536585365853658,17.0,17743.5,-1143.0,,0.7875876191226274,311819
0.3217352821966848,0.1039708979766805,0.2123500661251913,-2913.0,0.0720666666666666,0.0,True,1,,-11039,9.0,136256.58000000002,0.0,0.0,1.0,,9729.0,-1193.142857142857,,0.8632547149909287,165226
0.6528965519806539,0.5286443521912705,,,0.0747621695082777,0.0925925925925925,False,1,0.0625,-21543,14.4,1085979.375,,0.0,1.0,,21784.5,-659.5714285714286,0.05,0.8833922261484098,446018
0.646329897706246,0.4753606911729477,0.3786308119137629,-3234.0,0.0711180013542891,0.0,False,1,0.1666666666666666,-16714,7.5,168709.86,6300.0,0.1666666666666666,1.0,6.0,17959.5,-1324.0,1.6666666666666667,1.0,108590
0.4614823912998385,0.5845846922657391,0.6377612483215768,-902.0,0.04127,0.0434782608695652,False,1,,-16525,9.333333333333334,339567.34500000003,9000.0,0.0,1.0,5.0,55714.5,-1129.375,,0.9209917535312848,455638
0.0774985464900651,0.4464574472382398,,-2345.0,0.0643851220840968,0.6326530612244898,False,0,0.4285714285714285,-20377,21.6,3748200.93,0.0,0.2307692307692307,0.9321296101836894,,17550.0,-621.4736842105264,0.5,0.6660450246436659,396200
